年分,原始值,年增率
1951,12641,...
1952,17619,39.38
1953,23418,32.91
1954,25742,9.92
1955,30682,19.19
1956,35187,14.68
1957,41041,16.64
1958,45809,11.62
1959,52824,15.31
1960,63738,20.66
1961,71306,11.87
1962,78429,9.99
1963,88601,12.97
1964,103504,16.82
1965,114165,10.30
1966,127578,11.75
1967,147140,15.33
1968,171359,16.46
1969,198907,16.08
1970,228978,15.12
1971,266472,16.37
1972,319641,19.95
1973,414995,29.83
1974,556126,34.01
1975,594316,6.87
1976,712073,19.81
1977,835722,17.36
1978,1004338,20.18
1979,1215795,21.05
1980,1517840,24.84
1981,1801176,18.67
1982,1940487,7.73
1983,2171399,11.90
1984,2444352,12.57
1985,2564283,4.91
1986,3020959,17.81
1987,3365208,11.40
1988,3585924,6.56
1989,4103996,14.45
1990,4547362,10.80
1991,5093770,12.02
1992,5655306,11.02
1993,6224145,10.06
1994,6793022,9.14
1995,7388464,8.77
1996,8015577,8.49
1997,8664395,8.09
1998,9272725,7.02
1999,9739567,5.03
2000,10326952,6.03
2001,10122411,-1.98
2002,10654141,5.25
2003,11025130,3.48
2004,11737391,6.46
2005,12031145,2.50
2006,12555170,4.36
2007,13243277,5.48
2008,12934796,-2.33
2009,12895087,-0.31
2010,13981738,8.43
2011,14097446,0.83
2012,14531290,3.08
