年分,原始值,年增率
1974,11871,...
1975,14972,26.12
1976,20583,37.48
1977,26190,27.24
1978,33530,28.03
1979,40948,22.12
1980,53425,30.47
1981,66916,25.25
1982,64344,-3.84
1983,69653,8.25
1984,70461,1.16
1985,74216,5.33
1986,83254,12.18
1987,91382,9.76
1988,108276,18.49
1989,128119,18.33
1990,149824,16.94
1991,175482,17.13
1992,194476,10.82
1993,223747,15.05
1994,223768,0.01
1995,220303,-1.55
1996,211943,-3.79
1997,228951,8.02
1998,226831,-0.93
1999,233770,3.06
2000,228723,-2.16
2001,210779,-7.85
2002,203300,-3.55
2003,215290,5.90
2004,198600,-7.75
2005,193497,-2.57
2006,200068,3.40
2007,207780,3.85
2008,208274,0.24
2009,181925,-12.65
2010,187061,2.82
2011,178978,-4.32
2012,195891,9.45
