年分,原始值,年增率
1974,17251,...
1975,19321,12.00
1976,22194,14.87
1977,25856,16.50
1978,31654,22.42
1979,38687,22.22
1980,48064,24.24
1981,55624,15.73
1982,58070,4.40
1983,62821,8.18
1984,67146,6.89
1985,69824,3.99
1986,75437,8.04
1987,83104,10.16
1988,95907,15.41
1989,109410,14.08
1990,124140,13.46
1991,141164,13.71
1992,156023,10.53
1993,177531,13.79
1994,191481,7.86
1995,205923,7.54
1996,210811,2.37
1997,224851,6.66
1998,231611,3.01
1999,244918,5.75
2000,246256,0.55
2001,242640,-1.47
2002,239978,-1.10
2003,249763,4.08
2004,254643,1.95
2005,261571,2.72
2006,267769,2.37
2007,273336,2.08
2008,272742,-0.22
2009,265750,-2.56
2010,273647,2.97
2011,275984,0.85
2012,285939,3.61
