年分,原始值,年增率
1971,8.60,...
1972,10.33,20.12
1973,12.48,20.81
1974,11.27,-9.70
1975,12.80,13.58
1976,17.21,34.45
1977,17.71,2.91
1978,21.70,22.53
1979,23.72,9.31
1980,25.44,7.25
1981,25.43,-0.04
1982,26.20,3.03
1983,30.09,14.85
1984,34.09,13.29
1985,36.15,6.04
1986,41.74,15.46
1987,45.57,9.18
1988,47.78,4.85
1989,49.34,3.26
1990,48.70,-1.30
1991,51.33,5.40
1992,53.27,3.78
1993,54.53,2.37
1994,57.70,5.81
1995,59.44,3.02
1996,62.00,4.31
1997,64.76,4.45
1998,65.16,0.62
1999,69.47,6.61
2000,72.18,3.90
2001,73.86,2.33
2002,80.06,8.39
2003,87.70,9.54
2004,96.52,10.06
2005,96.14,-0.39
2006,95.62,-0.54
2007,102.04,6.71
2008,95.71,-6.20
2009,96.07,0.38
2010,104.54,8.82
2011,100.00,-4.34
2012,101.66,1.66
