年分,原始值,年增率
1971,23.40,...
1972,30.72,31.28
1973,35.35,15.07
1974,39.41,11.49
1975,46.83,18.83
1976,56.61,20.88
1977,74.30,31.25
1978,86.62,16.58
1979,110.01,27.00
1980,133.95,21.76
1981,148.15,10.60
1982,102.96,-30.50
1983,98.03,-4.79
1984,109.57,11.77
1985,109.96,0.36
1986,99.62,-9.40
1987,96.59,-3.04
1988,114.51,18.55
1989,121.82,6.38
1990,122.58,0.62
1991,126.89,3.52
1992,148.65,17.15
1993,190.57,28.20
1994,236.12,23.90
1995,226.32,-4.15
1996,186.80,-17.46
1997,156.62,-16.16
1998,157.48,0.55
1999,167.89,6.61
2000,143.29,-14.65
2001,127.26,-11.19
2002,100.97,-20.66
2003,110.07,9.01
2004,115.33,4.78
2005,128.46,11.38
2006,140.05,9.02
2007,139.37,-0.49
2008,126.46,-9.26
2009,102.33,-19.08
2010,92.95,-9.17
2011,100.00,7.58
2012,107.12,7.12
