年分,原始值,年增率
1971,13.25,...
1972,15.05,13.58
1973,16.28,8.17
1974,17.38,6.76
1975,18.41,5.93
1976,20.44,11.03
1977,23.43,14.63
1978,26.35,12.46
1979,28.73,9.03
1980,30.68,6.79
1981,32.86,7.11
1982,35.38,7.67
1983,38.57,9.02
1984,40.49,4.98
1985,43.68,7.88
1986,46.17,5.70
1987,49.81,7.88
1988,53.92,8.25
1989,57.78,7.16
1990,61.08,5.71
1991,64.41,5.45
1992,68.55,6.43
1993,73.57,7.32
1994,76.66,4.20
1995,78.29,2.13
1996,78.01,-0.36
1997,80.02,2.58
1998,84.37,5.44
1999,87.94,4.23
2000,100.25,14.00
2001,102.46,2.20
2002,97.12,-5.21
2003,99.23,2.17
2004,98.95,-0.28
2005,99.48,0.54
2006,102.31,2.84
2007,102.59,0.27
2008,100.76,-1.78
2009,98.47,-2.27
2010,99.80,1.35
2011,100.00,0.20
2012,99.40,-0.60
