年分,原始值,年增率
1971,...,...
1972,...,...
1973,...,...
1974,...,...
1975,...,...
1976,...,...
1977,...,...
1978,...,...
1979,...,...
1980,...,...
1981,...,...
1982,...,...
1983,...,...
1984,...,...
1985,...,...
1986,...,...
1987,...,...
1988,...,...
1989,...,...
1990,...,...
1991,...,...
1992,...,...
1993,...,...
1994,...,...
1995,...,...
1996,47.31,...
1997,50.68,7.12
1998,52.45,3.49
1999,56.32,7.38
2000,60.68,7.74
2001,55.64,-8.31
2002,60.37,8.50
2003,65.86,9.09
2004,72.06,9.41
2005,74.31,3.12
2006,77.64,4.48
2007,83.85,8.00
2008,83.07,-0.93
2009,76.73,-7.63
2010,95.80,24.85
2011,100.00,4.38
2012,99.64,...
