年分,原始值,年增率
1971,6.47,...
1972,7.94,22.72
1973,9.38,18.14
1974,8.78,-6.40
1975,9.48,7.97
1976,11.91,25.63
1977,13.51,13.43
1978,16.75,23.98
1979,17.70,5.67
1980,18.81,6.27
1981,19.49,3.62
1982,19.66,0.87
1983,22.37,13.78
1984,25.15,12.43
1985,25.80,2.58
1986,29.74,15.27
1987,33.03,11.06
1988,34.23,3.63
1989,35.47,3.62
1990,35.22,-0.70
1991,37.82,7.38
1992,39.29,3.89
1993,40.28,2.52
1994,42.59,5.73
1995,44.83,5.26
1996,46.03,2.68
1997,49.36,7.23
1998,50.93,3.18
1999,54.89,7.78
2000,59.20,7.85
2001,53.86,-9.02
2002,58.67,8.93
2003,64.27,9.54
2004,70.68,9.97
2005,72.94,3.20
2006,76.30,4.61
2007,82.66,8.34
2008,81.92,-0.90
2009,75.53,-7.80
2010,95.52,26.47
2011,100.00,4.69
2012,99.68,-0.32
