年分,原始值,年增率
1981,74112578,...
1982,94673666,27.74
1983,110942492,17.18
1984,111121047,0.16
1985,123915028,11.51
1986,137899432,11.29
1987,148047536,7.36
1988,168382593,13.74
1989,200549624,19.10
1990,245279765,22.30
1991,300965051,22.70
1992,351140259,16.67
1993,401130100,14.24
1994,428109963,6.73
1995,449691445,5.04
1996,505683604,12.45
1997,547227576,8.22
1998,567147236,3.64
1999,600599956,5.90
2000,548764226,-8.63
2001,590444164,7.60
2002,614797386,4.12
2003,632686033,2.91
2004,658024639,4.00
2005,683855359,3.93
2006,702184753,2.68
2007,710784665,1.22
2008,730759895,2.81
2009,790815093,8.22
2010,778187908,-1.60
2011,802356843,3.11
